#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,github_user
,,0,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,39,totalCommitContributions,github_activity,farukaf
,,1,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,23,totalContributions,github_activity,farukaf
,,2,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,10,totalIssueContributions,github_activity,farukaf
,,3,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,7,totalPullRequestContributions,github_activity,farukaf
,,4,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,2,totalRepositoryContributions,github_activity,farukaf
,,5,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,41,totalCommitContributions,github_activity,farukaf
,,6,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,54,totalContributions,github_activity,farukaf
,,7,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,6,totalIssueContributions,github_activity,farukaf
,,8,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,1,totalPullRequestContributions,github_activity,farukaf
,,9,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,5,totalRepositoryContributions,github_activity,farukaf
,,10,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,36,totalCommitContributions,github_activity,farukaf
,,11,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,14,totalContributions,github_activity,farukaf
,,12,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,10,totalIssueContributions,github_activity,farukaf
,,13,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,6,totalPullRequestContributions,github_activity,farukaf
,,14,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,2,totalRepositoryContributions,github_activity,farukaf
,,15,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,5,totalCommitContributions,github_activity,farukaf
,,16,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,69,totalContributions,github_activity,farukaf
,,17,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,8,totalIssueContributions,github_activity,farukaf
,,18,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,2,totalPullRequestContributions,github_activity,farukaf
,,19,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,5,totalRepositoryContributions,github_activity,farukaf
,,20,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,1,totalCommitContributions,github_activity,farukaf
,,21,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,108,totalContributions,github_activity,farukaf
,,22,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,0,totalIssueContributions,github_activity,farukaf
,,23,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,10,totalPullRequestContributions,github_activity,farukaf
,,24,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,1,totalRepositoryContributions,github_activity,farukaf
,,25,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,37,totalCommitContributions,github_activity,farukaf
,,26,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,122,totalContributions,github_activity,farukaf
,,27,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,2,totalIssueContributions,github_activity,farukaf
,,28,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,9,totalPullRequestContributions,github_activity,farukaf
,,29,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,0,totalRepositoryContributions,github_activity,farukaf
,,30,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,13,totalCommitContributions,github_activity,farukaf
,,31,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,25,totalContributions,github_activity,farukaf
,,32,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,6,totalIssueContributions,github_activity,farukaf
,,33,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,7,totalPullRequestContributions,github_activity,farukaf
,,34,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,4,totalRepositoryContributions,github_activity,farukaf
,,35,2023-09-09T14:35:50.622Z,2023-09-09T15:00:50.622Z,2023-09-09T15:01:50.622Z,2,totalCommitContributions,github_activity,farukaf
,,36,2023-09-09T14:35:50.622Z,2023-09-09T15:00:50.622Z,2023-09-09T15:01:50.622Z,125,totalContributions,github_activity,farukaf
,,37,2023-09-09T14:35:50.622Z,2023-09-09T15:00:50.622Z,2023-09-09T15:01:50.622Z,6,totalIssueContributions,github_activity,farukaf
,,38,2023-09-09T14:35:50.622Z,2023-09-09T15:00:50.622Z,2023-09-09T15:01:50.622Z,6,totalPullRequestContributions,github_activity,farukaf
,,39,2023-09-09T14:35:50.622Z,2023-09-09T15:00:50.622Z,2023-09-09T15:01:50.622Z,4,totalRepositoryContributions,github_activity,farukaf
,,40,2023-09-08T14:35:50.622Z,2023-09-08T15:00:50.622Z,2023-09-08T15:01:50.622Z,28,totalCommitContributions,github_activity,farukaf
,,41,2023-09-08T14:35:50.622Z,2023-09-08T15:00:50.622Z,2023-09-08T15:01:50.622Z,141,totalContributions,github_activity,farukaf
,,42,2023-09-08T14:35:50.622Z,2023-09-08T15:00:50.622Z,2023-09-08T15:01:50.622Z,8,totalIssueContributions,github_activity,farukaf
,,43,2023-09-08T14:35:50.622Z,2023-09-08T15:00:50.622Z,2023-09-08T15:01:50.622Z,0,totalPullRequestContributions,github_activity,farukaf
,,44,2023-09-08T14:35:50.622Z,2023-09-08T15:00:50.622Z,2023-09-08T15:01:50.622Z,1,totalRepositoryContributions,github_activity,farukaf
,,45,2023-09-07T14:35:50.622Z,2023-09-07T15:00:50.622Z,2023-09-07T15:01:50.622Z,43,totalCommitContributions,github_activity,farukaf
,,46,2023-09-07T14:35:50.622Z,2023-09-07T15:00:50.622Z,2023-09-07T15:01:50.622Z,42,totalContributions,github_activity,farukaf
,,47,2023-09-07T14:35:50.622Z,2023-09-07T15:00:50.622Z,2023-09-07T15:01:50.622Z,6,totalIssueContributions,github_activity,farukaf
,,48,2023-09-07T14:35:50.622Z,2023-09-07T15:00:50.622Z,2023-09-07T15:01:50.622Z,8,totalPullRequestContributions,github_activity,farukaf
,,49,2023-09-07T14:35:50.622Z,2023-09-07T15:00:50.622Z,2023-09-07T15:01:50.622Z,0,totalRepositoryContributions,github_activity,farukaf
,,50,2023-09-06T14:35:50.622Z,2023-09-06T15:00:50.622Z,2023-09-06T15:01:50.622Z,39,totalCommitContributions,github_activity,farukaf
,,51,2023-09-06T14:35:50.622Z,2023-09-06T15:00:50.622Z,2023-09-06T15:01:50.622Z,152,totalContributions,github_activity,farukaf
,,52,2023-09-06T14:35:50.622Z,2023-09-06T15:00:50.622Z,2023-09-06T15:01:50.622Z,8,totalIssueContributions,github_activity,farukaf
,,53,2023-09-06T14:35:50.622Z,2023-09-06T15:00:50.622Z,2023-09-06T15:01:50.622Z,3,totalPullRequestContributions,github_activity,farukaf
,,54,2023-09-06T14:35:50.622Z,2023-09-06T15:00:50.622Z,2023-09-06T15:01:50.622Z,3,totalRepositoryContributions,github_activity,farukaf
,,55,2023-09-05T14:35:50.622Z,2023-09-05T15:00:50.622Z,2023-09-05T15:01:50.622Z,46,totalCommitContributions,github_activity,farukaf
,,56,2023-09-05T14:35:50.622Z,2023-09-05T15:00:50.622Z,2023-09-05T15:01:50.622Z,68,totalContributions,github_activity,farukaf
,,57,2023-09-05T14:35:50.622Z,2023-09-05T15:00:50.622Z,2023-09-05T15:01:50.622Z,6,totalIssueContributions,github_activity,farukaf
,,58,2023-09-05T14:35:50.622Z,2023-09-05T15:00:50.622Z,2023-09-05T15:01:50.622Z,8,totalPullRequestContributions,github_activity,farukaf
,,59,2023-09-05T14:35:50.622Z,2023-09-05T15:00:50.622Z,2023-09-05T15:01:50.622Z,2,totalRepositoryContributions,github_activity,farukaf
,,60,2023-09-04T14:35:50.622Z,2023-09-04T15:00:50.622Z,2023-09-04T15:01:50.622Z,30,totalCommitContributions,github_activity,farukaf
,,61,2023-09-04T14:35:50.622Z,2023-09-04T15:00:50.622Z,2023-09-04T15:01:50.622Z,53,totalContributions,github_activity,farukaf
,,62,2023-09-04T14:35:50.622Z,2023-09-04T15:00:50.622Z,2023-09-04T15:01:50.622Z,3,totalIssueContributions,github_activity,farukaf
,,63,2023-09-04T14:35:50.622Z,2023-09-04T15:00:50.622Z,2023-09-04T15:01:50.622Z,0,totalPullRequestContributions,github_activity,farukaf
,,64,2023-09-04T14:35:50.622Z,2023-09-04T15:00:50.622Z,2023-09-04T15:01:50.622Z,3,totalRepositoryContributions,github_activity,farukaf
,,65,2023-09-03T14:35:50.622Z,2023-09-03T15:00:50.622Z,2023-09-03T15:01:50.622Z,12,totalCommitContributions,github_activity,farukaf
,,66,2023-09-03T14:35:50.622Z,2023-09-03T15:00:50.622Z,2023-09-03T15:01:50.622Z,101,totalContributions,github_activity,farukaf
,,67,2023-09-03T14:35:50.622Z,2023-09-03T15:00:50.622Z,2023-09-03T15:01:50.622Z,4,totalIssueContributions,github_activity,farukaf
,,68,2023-09-03T14:35:50.622Z,2023-09-03T15:00:50.622Z,2023-09-03T15:01:50.622Z,10,totalPullRequestContributions,github_activity,farukaf
,,69,2023-09-03T14:35:50.622Z,2023-09-03T15:00:50.622Z,2023-09-03T15:01:50.622Z,1,totalRepositoryContributions,github_activity,farukaf
,,70,2023-09-02T14:35:50.622Z,2023-09-02T15:00:50.622Z,2023-09-02T15:01:50.622Z,50,totalCommitContributions,github_activity,farukaf
,,71,2023-09-02T14:35:50.622Z,2023-09-02T15:00:50.622Z,2023-09-02T15:01:50.622Z,108,totalContributions,github_activity,farukaf
,,72,2023-09-02T14:35:50.622Z,2023-09-02T15:00:50.622Z,2023-09-02T15:01:50.622Z,8,totalIssueContributions,github_activity,farukaf
,,73,2023-09-02T14:35:50.622Z,2023-09-02T15:00:50.622Z,2023-09-02T15:01:50.622Z,10,totalPullRequestContributions,github_activity,farukaf
,,74,2023-09-02T14:35:50.622Z,2023-09-02T15:00:50.622Z,2023-09-02T15:01:50.622Z,2,totalRepositoryContributions,github_activity,farukaf
,,75,2023-09-01T14:35:50.622Z,2023-09-01T15:00:50.622Z,2023-09-01T15:01:50.622Z,42,totalCommitContributions,github_activity,farukaf
,,76,2023-09-01T14:35:50.622Z,2023-09-01T15:00:50.622Z,2023-09-01T15:01:50.622Z,15,totalContributions,github_activity,farukaf
,,77,2023-09-01T14:35:50.622Z,2023-09-01T15:00:50.622Z,2023-09-01T15:01:50.622Z,5,totalIssueContributions,github_activity,farukaf
,,78,2023-09-01T14:35:50.622Z,2023-09-01T15:00:50.622Z,2023-09-01T15:01:50.622Z,7,totalPullRequestContributions,github_activity,farukaf
,,79,2023-09-01T14:35:50.622Z,2023-09-01T15:00:50.622Z,2023-09-01T15:01:50.622Z,0,totalRepositoryContributions,github_activity,farukaf
,,80,2023-08-31T14:35:50.622Z,2023-08-31T15:00:50.622Z,2023-08-31T15:01:50.622Z,13,totalCommitContributions,github_activity,farukaf
,,81,2023-08-31T14:35:50.622Z,2023-08-31T15:00:50.622Z,2023-08-31T15:01:50.622Z,143,totalContributions,github_activity,farukaf
,,82,2023-08-31T14:35:50.622Z,2023-08-31T15:00:50.622Z,2023-08-31T15:01:50.622Z,10,totalIssueContributions,github_activity,farukaf
,,83,2023-08-31T14:35:50.622Z,2023-08-31T15:00:50.622Z,2023-08-31T15:01:50.622Z,7,totalPullRequestContributions,github_activity,farukaf
,,84,2023-08-31T14:35:50.622Z,2023-08-31T15:00:50.622Z,2023-08-31T15:01:50.622Z,0,totalRepositoryContributions,github_activity,farukaf
,,85,2023-08-30T14:35:50.622Z,2023-08-30T15:00:50.622Z,2023-08-30T15:01:50.622Z,40,totalCommitContributions,github_activity,farukaf
,,86,2023-08-30T14:35:50.622Z,2023-08-30T15:00:50.622Z,2023-08-30T15:01:50.622Z,27,totalContributions,github_activity,farukaf
,,87,2023-08-30T14:35:50.622Z,2023-08-30T15:00:50.622Z,2023-08-30T15:01:50.622Z,5,totalIssueContributions,github_activity,farukaf
,,88,2023-08-30T14:35:50.622Z,2023-08-30T15:00:50.622Z,2023-08-30T15:01:50.622Z,9,totalPullRequestContributions,github_activity,farukaf
,,89,2023-08-30T14:35:50.622Z,2023-08-30T15:00:50.622Z,2023-08-30T15:01:50.622Z,5,totalRepositoryContributions,github_activity,farukaf
,,90,2023-08-29T14:35:50.622Z,2023-08-29T15:00:50.622Z,2023-08-29T15:01:50.622Z,23,totalCommitContributions,github_activity,farukaf
,,91,2023-08-29T14:35:50.622Z,2023-08-29T15:00:50.622Z,2023-08-29T15:01:50.622Z,139,totalContributions,github_activity,farukaf
,,92,2023-08-29T14:35:50.622Z,2023-08-29T15:00:50.622Z,2023-08-29T15:01:50.622Z,5,totalIssueContributions,github_activity,farukaf
,,93,2023-08-29T14:35:50.622Z,2023-08-29T15:00:50.622Z,2023-08-29T15:01:50.622Z,0,totalPullRequestContributions,github_activity,farukaf
,,94,2023-08-29T14:35:50.622Z,2023-08-29T15:00:50.622Z,2023-08-29T15:01:50.622Z,0,totalRepositoryContributions,github_activity,farukaf
,,95,2023-08-28T14:35:50.622Z,2023-08-28T15:00:50.622Z,2023-08-28T15:01:50.622Z,17,totalCommitContributions,github_activity,farukaf
,,96,2023-08-28T14:35:50.622Z,2023-08-28T15:00:50.622Z,2023-08-28T15:01:50.622Z,172,totalContributions,github_activity,farukaf
,,97,2023-08-28T14:35:50.622Z,2023-08-28T15:00:50.622Z,2023-08-28T15:01:50.622Z,10,totalIssueContributions,github_activity,farukaf
,,98,2023-08-28T14:35:50.622Z,2023-08-28T15:00:50.622Z,2023-08-28T15:01:50.622Z,3,totalPullRequestContributions,github_activity,farukaf
,,99,2023-08-28T14:35:50.622Z,2023-08-28T15:00:50.622Z,2023-08-28T15:01:50.622Z,1,totalRepositoryContributions,github_activity,farukaf